# gunzip -c exp/tri4b/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang_2 
# Started at Thu Nov  9 17:32:32 NZDT 2017
#
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 10.6895144839% of the time at utterance begin.  This may not be optimal.
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 23.2558139535% of the time at utterance end.  This may not be optimal.
At utterance begin, nonsilence accounts for 89.3% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.0,14) frames.
Overall, aa_I accounts for 3.3% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.8,20) frames.
Overall, m_B accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.4,15) frames.
Overall, o_I accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.8,10) frames.
Overall, k_I accounts for 2.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.7,12) frames.
Overall, N_I accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.3,12) frames.
Overall, w_B accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.5,14) frames.
Overall, m_I accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.6,11) frames.
Overall, t_I accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.4,13) frames.
Overall, u_I accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.2,14) frames.
Overall, h_I accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.1,11) frames.
Overall, n_I accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.1,13) frames.
Overall, e_I accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.1,9) frames.
Overall, h_B accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.9,18) frames.
Overall, w_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.2,14) frames.
Overall, au_E accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (13,15.6,30) frames.
Overall, o_E accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.3,15) frames.
Overall, f_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.5,16) frames.
Overall, u_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,6.8,12) frames.
Overall, ae_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (16,17.2,31) frames.
Overall, r_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.0,7) frames.
Overall, ai_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.7,22) frames.
Overall, i_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.7,16) frames.
Overall, aa_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (15,16.8,28) frames.
Overall, p_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.6,16) frames.
Overall, p_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.7,11) frames.
Overall, a_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.0,17) frames.
Overall, au_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.4,17) frames.
Overall, e_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.6,16) frames.
Overall, ae_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.4,13) frames.
Overall, oo_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.0,14) frames.
Overall, ou_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (26,26.6,40) frames.
Overall, ai_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.7,15) frames.
The optional-silence phone sil occupies 6.0% of frames overall 
Limiting the stats to the 55.3% of frames not covered by an utterance-[begin/end] phone, optional-silence sil occupies 0.0% of frames.
Assuming 100 frames per second, the alignments represent 0.3 hours of data, or 0.2 hours if sil frames are excluded.
Utterance-internal optional-silences sil comprise 0.0% of utterance-internal phones, with duration (median, mean, 95-percentile) = (0,0.0,0)
# Accounting: time=0 threads=1
# Ended (code 0) at Thu Nov  9 17:32:32 NZDT 2017, elapsed time 0 seconds
