# gunzip -c exp/tri2b/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Thu Nov  9 17:26:06 NZDT 2017
#
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 10.8119135047% of the time at utterance begin.  This may not be optimal.
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 24.9694002448% of the time at utterance end.  This may not be optimal.
At utterance begin, nonsilence accounts for 89.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.0,14) frames.
Overall, ae_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.4,13) frames.
Overall, oo_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.1,14) frames.
Overall, ou_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (26,26.5,42) frames.
Overall, ai_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.7,15) frames.
The optional-silence phone sil occupies 6.2% of frames overall 
Limiting the stats to the 55.7% of frames not covered by an utterance-[begin/end] phone, optional-silence sil occupies 0.0% of frames.
Assuming 100 frames per second, the alignments represent 0.3 hours of data, or 0.2 hours if sil frames are excluded.
Utterance-internal optional-silences sil comprise 0.0% of utterance-internal phones, with duration (median, mean, 95-percentile) = (0,0.0,0)
# Accounting: time=0 threads=1
# Ended (code 0) at Thu Nov  9 17:26:06 NZDT 2017, elapsed time 0 seconds
