# gunzip -c exp/tri1/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Thu Nov  9 17:24:39 NZDT 2017
#
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 11.0567115463% of the time at utterance begin.  This may not be optimal.
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 25.4997960016% of the time at utterance end.  This may not be optimal.
At utterance begin, nonsilence accounts for 88.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.9,14) frames.
Overall, N_I accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.2,12) frames.
Overall, w_B accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.4,14) frames.
Overall, m_I accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.7,11) frames.
Overall, t_I accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.6,13) frames.
Overall, u_I accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.2,15) frames.
Overall, h_I accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.2,12) frames.
Overall, n_I accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.3,13) frames.
Overall, e_I accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.0,9) frames.
Overall, h_B accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.6,18) frames.
Overall, w_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.2,13) frames.
Overall, au_E accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (13,15.4,30) frames.
Overall, o_E accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.1,15) frames.
Overall, f_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.6,16) frames.
Overall, u_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.6,11) frames.
Overall, ae_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (15,17.2,31) frames.
Overall, r_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.0,7) frames.
Overall, ai_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.5,22) frames.
Overall, i_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.8,16) frames.
Overall, aa_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (15,16.9,28) frames.
Overall, p_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.6,17) frames.
Overall, p_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.8,11) frames.
Overall, a_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.9,18) frames.
Overall, au_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.4,19) frames.
Overall, e_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.9,18) frames.
Overall, ae_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.3,13) frames.
Overall, oo_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.1,14) frames.
Overall, ou_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (26,26.5,41) frames.
Overall, ai_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.7,15) frames.
The optional-silence phone sil occupies 6.3% of frames overall 
Limiting the stats to the 55.9% of frames not covered by an utterance-[begin/end] phone, optional-silence sil occupies 0.0% of frames.
Assuming 100 frames per second, the alignments represent 0.3 hours of data, or 0.2 hours if sil frames are excluded.
Utterance-internal optional-silences sil comprise 0.0% of utterance-internal phones, with duration (median, mean, 95-percentile) = (0,0.0,0)
# Accounting: time=0 threads=1
# Ended (code 0) at Thu Nov  9 17:24:39 NZDT 2017, elapsed time 0 seconds
